density,plan,order,mA,nA,mB,nB,mC,nC,outNNZ,elapsed_ms,est_first,est_second,speedup_vs_alt
0.1,chosen,A_then_BC,5000,10,10,5000,5000,10,32870,262,5000.0,2500000.0,10.423664122137405
0.1,non-optimal,AB_then_C,5000,10,10,5000,5000,10,32870,2731,5000.0,2500000.0,0.09593555474185281
0.2,chosen,A_then_BC,5000,10,10,5000,5000,10,32650,311,20000.0,1.0E7,16.771704180064308
0.2,non-optimal,AB_then_C,5000,10,10,5000,5000,10,32650,5216,20000.0,1.0E7,0.05962423312883436
0.3,chosen,A_then_BC,5000,10,10,5000,5000,10,48500,279,45000.0,6.75E7,84.6594982078853
0.3,non-optimal,AB_then_C,5000,10,10,5000,5000,10,48500,23620,45000.0,6.75E7,0.011812023708721423
0.4,chosen,A_then_BC,5000,10,10,5000,5000,10,49670,325,80000.0,1.6E8,152.36307692307693
0.4,non-optimal,AB_then_C,5000,10,10,5000,5000,10,49670,49518,80000.0,1.6E8,0.006563269922048548
