density,plan,order,mA,nA,mB,nB,mC,nC,outNNZ,elapsed_ms,est_first,est_second,speedup_vs_alt
0.100,chosen,A_then_BC,5000,10,10,5000,5000,10,150000,1945,4207812.6124,6.09745766204E10,0.4838046272493573
0.100,non-optimal,AB_then_C,5000,10,10,5000,5000,10,150000,941,4207812.6124,6.09745766204E10,2.066950053134963
0.200,chosen,A_then_BC,5000,10,10,5000,5000,10,300000,1956,1.68171000282E7,4.8759163398E11,0.8885480572597138
0.200,non-optimal,AB_then_C,5000,10,10,5000,5000,10,300000,1738,1.68171000282E7,4.8759163398E11,1.1254315304948217
0.300,chosen,A_then_BC,5000,10,10,5000,5000,10,450000,2259,3.7846042458399996E7,1.6456518750776E12,1.0947321823815848
0.300,non-optimal,AB_then_C,5000,10,10,5000,5000,10,450000,2473,3.7846042458399996E7,1.6456518750776E12,0.9134654266073595
