density,plan,order,mA,nA,mB,nB,mC,nC,outNNZ,elapsed_ms,est_first,est_second,speedup_vs_alt
0.100,chosen,A_then_BC,5000,10,10,5000,5000,10,15000,1033,42096.384000000005,6.10307808E7,0.4356243949661181
0.100,non-optimal,AB_then_C,5000,10,10,5000,5000,10,15000,450,42096.384000000005,6.10307808E7,2.2955555555555556
0.200,chosen,A_then_BC,5000,10,10,5000,5000,10,30000,430,168646.7452,4.889582471000001E8,0.9441860465116279
0.200,non-optimal,AB_then_C,5000,10,10,5000,5000,10,30000,406,168646.7452,4.889582471000001E8,1.0591133004926108
0.300,chosen,A_then_BC,5000,10,10,5000,5000,10,45000,457,378693.61919999996,1.644478695E9,0.9015317286652079
0.300,non-optimal,AB_then_C,5000,10,10,5000,5000,10,45000,412,378693.61919999996,1.644478695E9,1.1092233009708738
